datar_x	datar_y	dataw_x	dataw_y	coladd_x	coladd_y	rowadd_x	rowadd_y	bankadd_x	bankadd_y	control_x	control_y	clock_x	clock_y
8334	6024	1122	3861	5850	3861	5850	3861	5850	3861	8334	3861	8334	3861
8334	6873	1122	3847.75	2424	3861	2304	3861	2304	3861	8895	3861	8895	3861
8334	7722	1122	3874.25	2424	4226	2304	6024	2304	4226	9456	3861	9456	3861
8334	6024	1122	3861	3606	4226	2304	6873			8334	3861	8334	3861
8334	4226	841.5	3861			2304	7722			1122	3861	1122	3861
7152	4226	561	3861			2304	6024			561	3861	561	3861
7152	3861	1122	3861							0	3861	0	3861
1122	3861	7152	3861							1122	3861	1122	3861
841.5	3861	7152	4226										
561	3861	8334	4226										
1122	3861	8334	6024										
1122	3847.75	8334	6873										
1122	3874.25	8334	7722										
1122	3861	8334	6024										
